Question,Answer,Category,Difficulty
What is the use of CSS? (Q1321),CSS is used to style and layout web pages.,General,Easy
What is the use of CSS? (Q1322),CSS is used to style and layout web pages.,General,Easy
What is phishing? (Q1323),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
What is a foreign key? (Q1324),A foreign key is a field in one table that uniquely identifies a row in another table.,General,Medium
What is the difference between a compiler and an interpreter? (Q1325),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
What is machine learning? (Q1326),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
What is HTML? (Q1327),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is artificial intelligence? (Q1328),AI is the simulation of human intelligence processes by machines.,General,Easy
What is phishing? (Q1329),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
What is a primary key in a database? (Q1330),A primary key uniquely identifies each record in a table.,General,Easy
What is JavaScript used for? (Q1331),JavaScript adds interactivity and dynamic behavior to web pages.,General,Easy
What is the difference between a compiler and an interpreter? (Q1332),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
Explain the concept of recursion. (Q1333),Recursion is a method where a function calls itself to solve a smaller instance of a problem.,General,Medium
Explain normalization in databases. (Q1334),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
What is JavaScript used for? (Q1335),JavaScript adds interactivity and dynamic behavior to web pages.,General,Easy
What is the difference between a compiler and an interpreter? (Q1336),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
What is phishing? (Q1337),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
Explain polymorphism in OOP. (Q1338),Polymorphism allows objects to be treated as instances of their parent class rather than their actual class.,General,Hard
What is SQL used for? (Q1339),SQL is used for managing and manipulating relational databases.,Databases,Easy
What is phishing? (Q1340),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
What is a web framework? (Q1341),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
Explain the concept of encryption. (Q1342),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
Explain polymorphism in OOP. (Q1343),Polymorphism allows objects to be treated as instances of their parent class rather than their actual class.,General,Hard
What is a foreign key? (Q1344),A foreign key is a field in one table that uniquely identifies a row in another table.,General,Medium
What is artificial intelligence? (Q1345),AI is the simulation of human intelligence processes by machines.,General,Easy
What is a web framework? (Q1346),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
What is HTML? (Q1347),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What are data types in programming? (Q1348),"Data types specify the type of data that a variable can hold, such as integer, float, string, etc.",Programming Basics,Easy
What is HTML? (Q1349),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is the difference between SQL and NoSQL? (Q1350),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
